3292 119123251587 98887 3513
3293 119123353987 102400 0
3294 119123456387 102400 0
3295 119123558787 102400 0
3296 119123661187 102400 0
3297 119123763587 102400 0
3298 119123865987 102400 0
3299 119123968387 102400 0
3300 119124070787 102400 0
3301 119124173187 102400 0
3302 119124275587 102400 0
3303 119124378056 102469 -69
3304 119124480387 102331 69
3305 119124582787 102400 0
3306 119124685187 102400 0
3307 119124787587 102400 0
3308 119124889987 102400 0
3309 119124992387 102400 0
3310 119125094787 102400 0
3311 119125197187 102400 0
3312 119125299752 102565 -165
3313 119125401987 102235 165
3314 119125504387 102400 0
3315 119125606787 102400 0
3316 119125709187 102400 0
3317 119125811587 102400 0
3318 119125913987 102400 0
3319 119126016387 102400 0
3320 119126118787 102400 0
3321 119126221187 102400 0
3322 119126323587 102400 0
3323 119126425987 102400 0
3324 119126528387 102400 0
3325 119126630787 102400 0
3326 119126733187 102400 0
3327 119126835587 102400 0
3328 119126937987 102400 0
3329 119127040387 102400 0
3330 119127142787 102400 0
3331 119127245187 102400 0
3332 119127347587 102400 0
3333 119127449987 102400 0
3334 119127552387 102400 0
3335 119127654787 102400 0
3336 119127757187 102400 0
3337 119127859587 102400 0
3338 119127961987 102400 0
3339 119128064387 102400 0
3340 119128166787 102400 0
3341 119128269211 102424 -24
3342 119128371587 102376 24
3343 119128473987 102400 0
3344 119128576387 102400 0
3345 119128678787 102400 0
3346 119128781187 102400 0
3347 119128883587 102400 0
3348 119128985987 102400 0
3349 119129088387 102400 0
3352 119129395587 102400 0
3353 119129497987 102400 0
3354 119129600387 102400 0
3355 119129702787 102400 0
3356 119129805187 102400 0
3357 119129907587 102400 0
3358 119130009987 102400 0
3359 119130112387 102400 0
3360 119130214787 102400 0
3361 119130317187 102400 0
3362 119130419587 102400 0
3363 119130521987 102400 0
3364 119130624387 102400 0
3365 119130726802 102415 -15
3368 119131033987 102400 0
3369 119131136387 102400 0
3370 119131238787 102400 0
3371 119131341187 102400 0
3372 119131443587 102400 0
3373 119131545987 102400 0
3374 119131648387 102400 0
3375 119131750787 102400 0
3376 119131853187 102400 0
3377 119131955587 102400 0
3378 119132058162 102575 -175
3379 119132160387 102225 175
3380 119132262787 102400 0
3381 119132365187 102400 0
3382 119132467587 102400 0
3383 119132569987 102400 0
3384 119132672387 102400 0
3385 119132774787 102400 0
3388 119133082111 102524 -124
3389 119133184387 102276 124
3390 119133286787 102400 0
3391 119133389187 102400 0
3392 119133491587 102400 0
3393 119133593987 102400 0
3394 119133696387 102400 0
3395 119133798862 102475 -75
3396 119133901187 102325 75
3397 119134003587 102400 0
3400 119134208387 102400 0
3401 119134310787 102400 0
3402 119134413187 102400 0
3403 119134515587 102400 0
3406 119134720387 102400 0
3407 119134822787 102400 0
3408 119134925187 102400 0
3409 119135027587 102400 0
3418 119135437187 102400 0
3419 119135539587 102400 0
3420 119135641987 102400 0
3421 119135744387 102400 0
3422 119135846787 102400 0
3423 119135949187 102400 0
3424 119136051587 102400 0
3425 119136153987 102400 0
3426 119136256387 102400 0
3427 119136358787 102400 0
3428 119136461187 102400 0
3429 119136563587 102400 0
3430 119136665987 102400 0
3431 119136768387 102400 0
3432 119136870787 102400 0
3435 119137075587 102400 0
3436 119137177987 102400 0
3437 119137280491 102504 -104
3440 119137485187 102400 0
3441 119137587587 102400 0
3442 119137689987 102400 0
3447 119137894787 102400 0
3448 119137997187 102400 0
3449 119138099587 102400 0
3450 119138201987 102400 0
3451 119138304387 102400 0
3452 119138406787 102400 0
3453 119138509187 102400 0
3454 119138611587 102400 0
3455 119138713987 102400 0
3456 119138816387 102400 0
3457 119138918787 102400 0
3458 119139021187 102400 0
3459 119139123587 102400 0
3460 119139225987 102400 0
3461 119139328387 102400 0
3462 119139430787 102400 0
3463 119139533187 102400 0
3464 119139635587 102400 0
3465 119139737987 102400 0
3466 119139840401 102414 -14
3467 119139942787 102386 14
3468 119140045187 102400 0
3469 119140147587 102400 0
3470 119140249987 102400 0
3471 119140352387 102400 0
3472 119140454787 102400 0
3473 119140557187 102400 0
3474 119140659587 102400 0
3475 119140761987 102400 0
3476 119140864387 102400 0
3477 119140966787 102400 0
3478 119141069187 102400 0
3479 119141171587 102400 0
3480 119141273987 102400 0
3481 119141376387 102400 0
3482 119141478787 102400 0
3483 119141581187 102400 0
3484 119141683587 102400 0
3485 119141785987 102400 0
3486 119141888387 102400 0
3487 119141990787 102400 0
3488 119142093266 102479 -79
3489 119142195587 102321 79
3490 119142297987 102400 0
3491 119142400387 102400 0
3492 119142502787 102400 0
3493 119142605187 102400 0
3494 119142707587 102400 0
3495 119142809987 102400 0
3496 119142912387 102400 0
3497 119143014787 102400 0
3498 119143117187 102400 0
3499 119143219587 102400 0
3500 119143321987 102400 0
3501 119143424387 102400 0
3502 119143526787 102400 0
3503 119143629187 102400 0
3504 119143731587 102400 0
3505 119143833987 102400 0
3506 119143936387 102400 0
3507 119144038787 102400 0
3508 119144141187 102400 0
3509 119144243587 102400 0
3510 119144345987 102400 0
3511 119144448387 102400 0
3512 119144550787 102400 0
3513 119144653187 102400 0
3514 119144755587 102400 0
3515 119144857987 102400 0
3516 119144960532 102545 -145
3517 119145062787 102255 145
3518 119145165187 102400 0
3519 119145267587 102400 0
3520 119145369987 102400 0
3521 119145472387 102400 0
3522 119145574787 102400 0
3523 119145677187 102400 0
3528 119146086787 102400 0
3529 119146189187 102400 0
3530 119146291587 102400 0
3539 119146598787 102400 0
3540 119146701187 102400 0
3541 119146803587 102400 0
3542 119146905987 102400 0
3546 119147110787 102400 0
3547 119147213187 102400 0
3548 119147315587 102400 0
3549 119147417987 102400 0
3550 119147520387 102400 0
3551 119147622787 102400 0
3552 119147725187 102400 0
3553 119147827587 102400 0
3558 119148032387 102400 0
3559 119148134787 102400 0
3560 119148237187 102400 0
3561 119148339587 102400 0
3562 119148441987 102400 0
3563 119148544387 102400 0
3564 119148646787 102400 0
3565 119148749187 102400 0
3575 119149158787 102400 0
3576 119149261187 102400 0
3577 119149363587 102400 0
3578 119149465987 102400 0
3579 119149568387 102400 0
3580 119149670787 102400 0
3581 119149773187 102400 0
3582 119149875587 102400 0
3583 119149977987 102400 0
3584 119150080387 102400 0
3587 119150387587 102400 0
3588 119150489987 102400 0
3589 119150592387 102400 0
3592 119150899587 102400 0
3595 119151206787 102400 0
3596 119151309202 102415 -15
3597 119151411587 102385 15
3598 119151513987 102400 0
3599 119151616387 102400 0
3600 119151718787 102400 0
3601 119151821187 102400 0
3602 119151923587 102400 0
3603 119152025987 102400 0
3604 119152128387 102400 0
3605 119152230787 102400 0
3606 119152333187 102400 0
3607 119152435587 102400 0
3608 119152537987 102400 0
3609 119152640469 102482 -82
3610 119152742787 102318 82
3611 119152845187 102400 0
3612 119152947587 102400 0
3613 119153049987 102400 0
3614 119153152387 102400 0
3615 119153254787 102400 0
3616 119153357187 102400 0
3617 119153459587 102400 0
3618 119153561987 102400 0
3619 119153664387 102400 0
3620 119153766787 102400 0
3623 119154073987 102400 0
3624 119154176564 102577 -177
3625 119154278787 102223 177
3626 119154381187 102400 0
3629 119154688387 102400 0
3630 119154790787 102400 0
3631 119154893187 102400 0
3632 119154995587 102400 0
3633 119155097987 102400 0
3634 119155200387 102400 0
3635 119155302787 102400 0
3636 119155405187 102400 0
3637 119155507587 102400 0
3638 119155609987 102400 0
3639 119155712387 102400 0
3640 119155814787 102400 0
3641 119155917187 102400 0
3642 119156019601 102414 -14
3643 119156121987 102386 14
3646 119156326787 102400 0
3647 119156429187 102400 0
3648 119156531587 102400 0
3649 119156633987 102400 0
3650 119156736387 102400 0
3651 119156838787 102400 0
3652 119156941187 102400 0
3653 119157043587 102400 0
3654 119157145987 102400 0
3655 119157248387 102400 0
3656 119157350787 102400 0
3657 119157453187 102400 0
