2948 119089049987 102400 0
2949 119089152387 102400 0
2950 119089254787 102400 0
2951 119089357187 102400 0
2952 119089459587 102400 0
2953 119089561987 102400 0
2954 119089664412 102425 -25
2955 119089766787 102375 25
2956 119089869187 102400 0
2957 119089971587 102400 0
2958 119090073987 102400 0
2959 119090176387 102400 0
2960 119090278787 102400 0
2961 119090381187 102400 0
2962 119090483587 102400 0
2963 119090585987 102400 0
2964 119090688387 102400 0
2965 119090790822 102435 -35
2966 119090893187 102365 35
2967 119090995587 102400 0
2968 119091097987 102400 0
2969 119091200387 102400 0
2970 119091302787 102400 0
2971 119091405187 102400 0
2972 119091507587 102400 0
2973 119091609987 102400 0
2974 119091712387 102400 0
2975 119091814787 102400 0
2978 119092121987 102400 0
2979 119092224387 102400 0
2980 119092326787 102400 0
2981 119092429187 102400 0
2982 119092531587 102400 0
2983 119092633987 102400 0
2984 119092736387 102400 0
2985 119092838787 102400 0
2986 119092941187 102400 0
2987 119093043587 102400 0
2988 119093145987 102400 0
2989 119093248387 102400 0
2990 119093350787 102400 0
2991 119093453187 102400 0
2992 119093555587 102400 0
2993 119093657987 102400 0
2994 119093760387 102400 0
2995 119093862787 102400 0
2996 119093965187 102400 0
2997 119094067587 102400 0
2998 119094169987 102400 0
2999 119094272387 102400 0
3000 119094374787 102400 0
3001 119094477187 102400 0
3002 119094579587 102400 0
3003 119094682068 102481 -81
3004 119094784387 102319 81
3005 119094886787 102400 0
3006 119094989187 102400 0
3007 119095091587 102400 0
3008 119095193987 102400 0
3009 119095296387 102400 0
3010 119095398787 102400 0
3015 119095910787 102400 0
3016 119096013187 102400 0
3017 119096115587 102400 0
3020 119096422787 102400 0
3021 119096525187 102400 0
3022 119096627587 102400 0
3023 119096729987 102400 0
3024 119096832387 102400 0
3025 119096934787 102400 0
3026 119097037187 102400 0
3027 119097139587 102400 0
3028 119097241987 102400 0
3029 119097344387 102400 0
3030 119097446787 102400 0
3031 119097549187 102400 0
3032 119097651587 102400 0
3035 119097958787 102400 0
3036 119098061187 102400 0
3037 119098163587 102400 0
3038 119098265987 102400 0
3039 119098368387 102400 0
3040 119098470787 102400 0
3041 119098573187 102400 0
3042 119098675587 102400 0
3043 119098777987 102400 0
3044 119098880387 102400 0
3045 119098982787 102400 0
3046 119099085187 102400 0
3047 119099187587 102400 0
3048 119099289987 102400 0
3049 119099392387 102400 0
3050 119099494787 102400 0
3051 119099597187 102400 0
3052 119099699587 102400 0
3053 119099801987 102400 0
3054 119099904387 102400 0
3055 119100006787 102400 0
3056 119100109187 102400 0
3057 119100211587 102400 0
3058 119100313987 102400 0
3059 119100416387 102400 0
3060 119100518787 102400 0
3061 119100621187 102400 0
3064 119100825987 102400 0
3065 119100928387 102400 0
3066 119101030787 102400 0
3067 119101133187 102400 0
3068 119101235587 102400 0
3069 119101337987 102400 0
3070 119101440387 102400 0
3071 119101542787 102400 0
3072 119101645187 102400 0
3073 119101747587 102400 0
3074 119101849987 102400 0
3075 119101952387 102400 0
3076 119102054787 102400 0
3077 119102157187 102400 0
3078 119102259587 102400 0
3082 119102464387 102400 0
3083 119102566787 102400 0
3084 119102669187 102400 0
3085 119102771587 102400 0
3086 119102873987 102400 0
3087 119102976387 102400 0
3088 119103078787 102400 0
3089 119103181187 102400 0
3090 119103283587 102400 0
3091 119103385987 102400 0
3092 119103488387 102400 0
3093 119103590787 102400 0
3094 119103693187 102400 0
3095 119103795587 102400 0
3096 119103897987 102400 0
3101 119104205187 102400 0
3102 119104307587 102400 0
3103 119104409987 102400 0
3104 119104512387 102400 0
3105 119104614787 102400 0
3106 119104717187 102400 0
3107 119104819587 102400 0
3108 119104921987 102400 0
3109 119105024387 102400 0
3110 119105126787 102400 0
3111 119105229187 102400 0
3112 119105331587 102400 0
3113 119105433987 102400 0
3114 119105536387 102400 0
3115 119105638787 102400 0
3116 119105741187 102400 0
3119 119106048387 102400 0
3120 119106150787 102400 0
3121 119106253187 102400 0
3122 119106355587 102400 0
3123 119106457987 102400 0
3124 119106560387 102400 0
3125 119106662787 102400 0
3126 119106765187 102400 0
3127 119106867587 102400 0
3128 119106969987 102400 0
3129 119107072387 102400 0
3130 119107174787 102400 0
3131 119107277187 102400 0
3132 119107379587 102400 0
3133 119107481987 102400 0
3134 119107584387 102400 0
3135 119107686787 102400 0
